date,model,tier,ebay_avg_price_usd,data_source,lhr
2021-10-01,RTX 3060 Ti LHR,XX60,800.0,TechSpot / Tom's Hardware — range $700-$900 (midpoint used),1
2021-10-01,RTX 3070,XX70,1210.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3070 LHR,XX70,935.0,TechSpot / Tom's Hardware — range $820-$1050 (midpoint used),1
2021-10-01,RTX 3070 Ti,XX70,1190.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3080,XX80,1755.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3080 LHR,XX80,1375.0,TechSpot / Tom's Hardware — range $1250-$1500 (midpoint used),1
2021-10-01,RTX 3080 Ti,XX80,1910.0,Tom's Hardware / PCMag / 3D Center,0
2021-10-01,RTX 3090,XX90,2850.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3060,XX60,749.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3060 Ti,XX60,979.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3060 Ti LHR,XX60,780.0,TechSpot / Tom's Hardware — range $680-$880 (midpoint used),1
2021-11-01,RTX 3070,XX70,1210.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3070 LHR,XX70,900.0,TechSpot / Tom's Hardware — range $800-$1000 (midpoint used),1
2021-11-01,RTX 3070 Ti,XX70,1208.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3080,XX80,1773.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3080 LHR,XX80,1325.0,TechSpot / Tom's Hardware — range $1200-$1450 (midpoint used),1
2021-11-01,RTX 3080 Ti,XX80,1941.0,Tom's Hardware / PCMag / 3D Center,0
2021-11-01,RTX 3090,XX90,2947.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3060,XX60,755.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3060 Ti,XX60,993.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3060 Ti LHR,XX60,775.0,TechSpot / Tom's Hardware — range $700-$850 (midpoint used),1
2021-12-01,RTX 3070,XX70,1195.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3070 LHR,XX70,900.0,TechSpot / Tom's Hardware — range $850-$950 (midpoint used),1
2021-12-01,RTX 3070 Ti,XX70,1225.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3080,XX80,1780.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3080 LHR,XX80,1450.0,TechSpot / Tom's Hardware — range $1350-$1550 (midpoint used),1
2021-12-01,RTX 3080 Ti,XX80,1965.0,Tom's Hardware / PCMag / 3D Center,0
2021-12-01,RTX 3090,XX90,2930.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3060,XX60,761.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3060 Ti,XX60,1007.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3060 Ti LHR,XX60,700.0,TechSpot / Tom's Hardware — range $600-$800 (midpoint used),1
2022-01-01,RTX 3070,XX70,1179.0,Tom's Hardware / PCMag / 3D Center,0
2022-01-01,RTX 3070 LHR,XX70,825.0,TechSpot / Tom's Hardware — range $700-$950 (midpoint used),1
2022-01-01,RTX 3070 Ti,XX70,1244.0,Tom's Hardware / PCMag / 3D Center,0
